date,UX2-UX5_ema_20,UX2-UX5_ema_60,UX5-UX8_ema_20,UX5-UX8_ema_60,CSI BARC-BASPCAAA_ema_20,CSI BARC-BASPCAAA_ema_60,UX2-UX5_signal_20_60,UX2-UX5_signal_20_80,UX2-UX5_signal_20_100,UX2-UX5_signal_30_60,UX2-UX5_signal_30_80,UX2-UX5_signal_30_100,UX2-UX5_signal_40_60,UX2-UX5_signal_40_80,UX2-UX5_signal_40_100,UX5-UX8_signal_20_60,UX5-UX8_signal_20_80,UX5-UX8_signal_20_100,UX5-UX8_signal_30_60,UX5-UX8_signal_30_80,UX5-UX8_signal_30_100,UX5-UX8_signal_40_60,UX5-UX8_signal_40_80,UX5-UX8_signal_40_100,CSI BARC-BASPCAAA_signal_20_60,CSI BARC-BASPCAAA_signal_20_80,CSI BARC-BASPCAAA_signal_20_100,CSI BARC-BASPCAAA_signal_30_60,CSI BARC-BASPCAAA_signal_30_80,CSI BARC-BASPCAAA_signal_30_100,CSI BARC-BASPCAAA_signal_40_60,CSI BARC-BASPCAAA_signal_40_80,CSI BARC-BASPCAAA_signal_40_100,Equi_weighted
2006-03-09,-0.5391597600420723,-0.4402486428836008,-0.13485956001423763,-0.12214185050743476,1.7743383275719553,1.6615297034276026,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1054.4877868994454
2006-03-10,-0.5402064006294284,-0.43149011935926246,-0.13485956001423763,-0.12521161715317652,1.7743847349703232,1.6659419075214588,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1060.2185092215914
2006-03-13,-0.5480562050345997,-0.42450193569622663,-0.13485956001423763,-0.12828138379891843,1.7710085967390405,1.6691796118565243,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1069.767387783528
2006-03-14,-0.5551210289992539,-0.41807280672623354,-0.13485956001423763,-0.13135115044466036,1.7802668727134863,1.6758703454824337,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1074.7586620641066
2006-03-15,-0.5621858529639079,-0.41052556837015475,-0.13485956001423763,-0.1344209170904021,1.771147818934145,1.67858343992524,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1079.2034888925837
2006-03-16,-0.5747455400121818,-0.4240360567853576,-0.13485956001423763,-0.13135115044466017,1.7746283738117559,1.6846086236878348,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1082.3635828815454
2006-03-17,-0.5867819067667777,-0.4365216115966484,-0.13485956001423763,-0.13557207958255538,1.7592211175535304,1.6830152190150756,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1085.0946574879
2006-03-20,-0.5964633321998221,-0.4481685843683748,-0.13485956001423763,-0.13813021845400686,1.7495915823921395,1.6833910589378884,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1088.2117332731855
2006-03-21,-0.6239376476179211,-0.45888379931836315,-0.13485956001423763,-0.14056045038188578,1.7412150469866887,1.6818093992627174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1089.3732247724395
2006-03-22,-0.595940011906144,-0.45608852585314885,-0.13693640491845618,-0.14260696147904717,1.735437325889854,1.686718808254461,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1091.5032071814824
