date,UX2-UX5,UX5-UX8,CSI BARC-BASPCAAA,SGEPVBE-SGEPLBE,UVOLNYE-DVOLNYE,MRI CITI Index,MRIST Index,CESIG10 Index,CESIUSD Index
2003-03-26,,,-191.82,-98.91999999999996,,0.33299999999999996,0.194,-8.3,-94.6
2003-03-27,,,-190.39,-104.42999999999995,,0.327,0.196,-11.1,-93.8
2003-03-28,,,-188.70999999999998,-105.73000000000002,,0.326,0.184,-7.4,-91.0
2003-03-31,,,-179.82,-113.77999999999997,,0.366,0.298,-10.8,-91.7
2003-04-01,,,-190.79,-114.67999999999995,,0.34700000000000003,0.238,-15.6,-101.7
2003-04-02,,,-196.21,-106.46000000000004,,0.298,0.2,-15.1,-100.7
2003-04-03,,,-184.32,-103.60000000000002,,0.28600000000000003,0.14,-18.4,-107.8
2003-04-04,,,-184.94,-104.34000000000003,,0.271,0.107,-21.6,-113.9
2003-04-07,,,-179.72,-92.38,,0.256,0.159,-19.8,-109.3
2003-04-08,,,-175.01,-95.41999999999996,,0.24,0.143,-19.2,-107.2
2003-04-09,,,-179.95,-95.41000000000008,,0.22399999999999998,0.108,-19.9,-104.2
2003-04-10,,,-184.88,-98.66999999999996,,0.201,0.105,-17.8,-94.7
2003-04-11,,,-181.12,-96.95000000000005,,0.17600000000000002,0.116,-10.7,-76.4
2003-04-14,,,-180.97,-93.38,,0.134,0.053,-10.1,-71.8
2003-04-15,,,-172.35,-83.01999999999998,,0.109,0.0,-13.8,-77.2
2003-04-16,,,-170.29,-76.94999999999993,,0.11199999999999999,0.075,-15.2,-77.2
2003-04-17,,,-175.52,-76.00999999999999,,0.11199999999999999,0.105,-15.6,-77.2
2003-04-22,,,-168.11,-73.0,,0.13699999999999998,0.244,-18.4,-77.1
2003-04-23,,,-166.14000000000001,-65.13,,0.11699999999999999,0.138,-16.7,-76.9
2003-04-24,,,-156.99,-67.00999999999999,,0.126,0.15,-18.8,-74.3
2003-04-25,,,-161.47,-69.25,,0.141,0.242,-12.9,-58.1
2003-04-28,,,-162.44,-62.24000000000001,,0.147,0.286,-21.2,-57.8
2003-04-29,,,-164.55,-57.549999999999955,,0.126,0.233,-17.8,-39.7
2003-04-30,,,-154.1,-52.629999999999995,,0.154,0.373,-21.3,-41.9
2003-05-02,,,-163.11,-46.120000000000005,,0.16,0.317,-22.9,-47.6
2003-05-05,,,-154.5,-40.210000000000036,,0.14400000000000002,0.254,-21.1,-44.7
2003-05-06,,,-152.71,-32.15999999999997,,0.172,0.342,-20.6,-45.3
2003-05-07,,,-153.92,-35.64999999999998,,0.212,0.437,-27.3,-46.6
2003-05-08,,,-161.53,-42.97000000000003,,0.223,0.479,-27.9,-46.1
2003-05-09,,,-160.57,-44.139999999999986,,0.18899999999999997,0.438,-30.6,-45.6
2003-05-12,,,-158.48,-45.04000000000008,,0.19899999999999998,0.451,-31.1,-45.1
2003-05-13,,,-160.57,-43.58000000000004,,0.2,0.463,-37.3,-58.9
2003-05-14,,,-152.33,-38.82999999999993,,0.23,0.491,-44.8,-78.4
2003-05-15,,,-158.54,-34.25,,0.25,0.496,-43.4,-74.3
2003-05-16,,,-153.0,-30.0,,0.263,0.514,-43.4,-73.7
2003-05-19,,,-167.42000000000002,-43.440000000000055,,0.331,0.682,-40.2,-63.2
2003-05-20,,,-149.07,-46.98000000000002,,0.321,0.777,-38.1,-56.7
2003-05-21,,,-154.99,-54.60000000000002,,0.335,0.798,-38.0,-54.6
2003-05-22,,,-152.34,-50.8599999999999,,0.295,0.601,-39.0,-52.9
2003-05-23,,,-154.95999999999998,-53.809999999999945,,0.309,0.601,-37.8,-50.8
2003-05-26,,,-154.95,-52.83000000000004,,0.306,0.584,-32.7,-43.3
2003-05-27,,,-164.47,-53.35000000000002,,0.308,0.665,-33.9,-41.5
2003-05-28,,,-162.12,-47.889999999999986,,0.299,0.638,-29.7,-43.2
2003-05-29,,,-155.27999999999997,-43.48000000000002,,0.29,0.603,-29.0,-39.7
2003-05-30,,,-163.72,-35.13000000000011,,0.29600000000000004,0.552,-26.8,-34.1
2003-06-02,,,-165.38,-29.93999999999994,,0.293,0.578,-24.4,-25.2
2003-06-03,,,-153.22,-33.629999999999995,,0.304,0.601,-23.4,-21.8
2003-06-04,,,-155.01999999999998,-29.770000000000095,,0.302,0.631,-19.1,-11.1
2003-06-05,,,-160.93,-30.59999999999991,,0.29100000000000004,0.531,-18.2,-10.7
2003-06-06,,,-157.29,-17.090000000000032,,0.295,0.487,-18.6,-8.9
2003-06-09,,,-151.96,-19.360000000000014,,0.303,0.621,-19.6,-7.5
2003-06-10,,,-151.41,-17.25,,0.273,0.515,-15.9,-4.2
2003-06-11,,,-158.73000000000002,-14.580000000000041,,0.267,0.487,-16.4,-3.6
2003-06-12,,,-154.48000000000002,-7.319999999999936,,0.27699999999999997,0.482,-17.5,-5.0
2003-06-13,,,-153.84,-15.960000000000036,,0.282,0.537,-17.6,-3.0
2003-06-16,,,-164.35,-12.550000000000068,,0.28800000000000003,0.484,-16.0,3.0
2003-06-17,,,-165.79,-8.279999999999973,,0.271,0.419,-12.0,11.6
2003-06-18,,,-157.18,-10.159999999999968,,0.252,0.347,-12.1,12.3
2003-06-19,,,-159.82000000000002,-17.08000000000004,,0.24600000000000002,0.372,-12.8,12.0
2003-06-20,,,-165.32999999999998,-20.610000000000014,,0.23199999999999998,0.361,-11.9,12.3
2003-06-23,,,-156.87,-24.019999999999982,,0.237,0.477,-9.5,13.8
2003-06-24,,,-156.8,-27.090000000000032,,0.247,0.51,-7.9,16.5
2003-06-25,,,-171.44000000000003,-24.0,,0.23199999999999998,0.396,-3.1,21.5
2003-06-26,,,-170.35000000000002,-26.389999999999986,,0.213,0.294,-12.6,12.4
2003-06-27,,,-160.32,-18.230000000000018,,0.19899999999999998,0.259,-9.8,14.7
2003-06-30,,,-155.97,-19.019999999999982,,0.205,0.329,-5.3,17.9
2003-07-01,,,-162.01999999999998,-24.200000000000045,,0.20800000000000002,0.335,-1.6,15.4
2003-07-02,,,-156.26,-15.059999999999945,,0.214,0.405,-1.2,15.9
2003-07-03,,,-167.89000000000001,-12.480000000000018,,0.203,0.366,2.1,20.4
2003-07-04,,,-167.88000000000002,-12.600000000000023,,0.202,0.345,-2.1,19.5
2003-07-07,,,-164.45,-1.6800000000000637,,0.21899999999999997,0.436,-1.9,15.4
2003-07-08,,,-155.86,4.329999999999927,,0.21600000000000003,0.438,-2.1,12.6
2003-07-09,,,-152.69,0.7899999999999636,,0.20800000000000002,0.358,-3.8,10.2
2003-07-10,,,-154.39000000000001,-2.7399999999998954,,0.222,0.435,-4.2,10.4
2003-07-11,,,-156.4,-2.3600000000000136,,0.22,0.415,-2.0,9.3
2003-07-14,,,-167.20000000000002,3.9300000000000637,,0.21,0.48,0.2,11.3
